CalibrationNumber,FrameNumber,CrosshairPosition,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiameter,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiameter,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,Time,TimeTick
0,1475,(512 720),14151,0.37528,0.81295,0,-0.03231,-0.06874,0.70288,0.00647,True,0.03573,-0.07113,0.75147,0.0059,True,0.18144,0.47551,95.77486,0.22777,284,True,0.20365,0.4914,True,0.15091,0.50398,True,0.17728,0.49769,True,0.37528,0.81295,29.69092,0.99046,True,0.62048,0.80265,27.32628,0.99046,True,96.00263,64627215597
0,1477,(512 720),14152,0.37526,0.81292,0,-0.03231,-0.06874,0.70288,0.00648,True,0.03573,-0.07113,0.75147,0.00589,True,0.18166,0.47597,95.77486,0.23473,284,True,0.2037,0.48374,True,0.17509,0.49999,True,0.18939,0.49187,True,0.37526,0.81292,29.58288,0.99046,True,0.62045,0.80263,27.40663,0.99046,True,96.00959,64627285247
0,1478,(512 720),14153,0.37526,0.81293,0,-0.03231,-0.06874,0.70288,0.00647,True,0.03573,-0.07113,0.75147,0.00591,True,0.18187,0.4764,95.77486,0.24117,284,True,0.2037,0.48374,True,0.17509,0.49999,True,0.18939,0.49187,True,0.37526,0.81293,29.67994,0.99046,True,0.62042,0.80265,27.37108,0.99046,True,96.01604,64627349686
0,1480,(512 720),14154,0.37511,0.81289,0,-0.03231,-0.06874,0.70288,0.00649,True,0.03573,-0.07113,0.75147,0.00591,True,0.18228,0.4766,95.77486,0.24809,284,True,0.19652,0.47145,True,0.19821,0.497,True,0.19737,0.48422,True,0.37511,0.81289,29.79694,0.99046,True,0.62038,0.80255,27.37551,0.99046,True,96.02296,64627418882
0,1482,(512 720),14155,0.37514,0.81301,0,-0.03231,-0.06874,0.70288,0.00647,True,0.03573,-0.07113,0.75147,0.00591,True,0.18272,0.47706,95.77486,0.25454,284,True,0.20035,0.49179,True,0.19841,0.49724,True,0.19938,0.49452,True,0.37514,0.81301,29.63916,0.99046,True,0.62041,0.80266,27.36653,0.99046,True,96.0294,64627483346
0,1483,(512 720),14156,0.37513,0.81299,0,-0.03247,-0.06912,0.70624,0.00647,True,0.03398,-0.06776,0.71586,0.0059,True,0.18316,0.47759,95.77486,0.26125,284,True,0.20035,0.49179,True,0.20075,0.5042,True,0.20055,0.498,True,0.37513,0.81299,29.58033,0.99046,True,0.62039,0.80262,27.46136,0.97897,True,96.03612,64627550512
0,1485,(512 720),14157,0.37506,0.81298,0,-0.03247,-0.06912,0.70624,0.00648,True,0.03398,-0.06776,0.71586,0.00593,True,0.18363,0.47821,95.77486,0.26797,284,True,0.1991,0.49772,True,0.20529,0.50828,True,0.20219,0.503,True,0.37506,0.81298,29.74896,0.97897,True,0.62032,0.80252,27.36771,0.96748,True,96.04283,64627617654
0,1487,(512 720),14158,0.37501,0.81289,0,-0.03247,-0.06912,0.70624,0.00647,True,0.03398,-0.06776,0.71586,0.00591,True,0.18396,0.47865,95.77486,0.27467,284,True,0.19541,0.48748,True,0.19956,0.50606,True,0.19748,0.49677,True,0.37501,0.81289,29.84702,0.96748,True,0.62024,0.8025,27.36745,0.95599,True,96.04954,64627684688
0,1488,(512 720),14159,0.37504,0.81289,0,-0.03247,-0.06912,0.70624,0.00648,True,0.03538,-0.07065,0.7464,0.00592,True,0.18424,0.47898,95.77486,0.28159,284,True,0.1952,0.48706,True,0.19702,0.49856,True,0.19611,0.49281,True,0.37504,0.81289,29.94188,0.96812,True,0.62026,0.8025,27.35139,0.96812,True,96.05646,64627753890
0,1490,(512 720),14160,0.37497,0.81294,0,-0.03247,-0.06912,0.70624,0.00651,True,0.03538,-0.07065,0.7464,0.00595,True,0.18429,0.47923,95.77486,0.28804,284,True,0.18324,0.48814,True,0.18998,0.49232,True,0.18661,0.49023,True,0.37497,0.81294,29.84831,0.98024,True,0.62016,0.80255,27.41018,0.99173,True,96.0629,64627818332
0,1491,(512 720),14161,0.37496,0.81298,0,-0.03247,-0.06912,0.70624,0.00651,True,0.03538,-0.07065,0.7464,0.00596,True,0.18422,0.47908,95.77486,0.29478,284,True,0.17602,0.47536,True,0.18577,0.46913,True,0.18089,0.47224,True,0.37496,0.81298,29.90207,1.00385,True,0.62015,0.80257,27.4246,1.01534,True,96.06964,64627885731
0,1493,(512 720),14162,0.37495,0.81299,0,-0.03465,-0.07341,0.75009,0.00652,True,0.03538,-0.07065,0.7464,0.00596,True,0.184,0.4786,95.77486,0.3015,284,True,0.16798,0.46012,True,0.18084,0.45442,True,0.17441,0.45727,True,0.37495,0.81299,29.89081,1.02746,True,0.62016,0.80257,27.41482,1.03895,True,96.07636,64627952948
0,1495,(512 720),14163,0.37485,0.81294,0,-0.03465,-0.07341,0.75009,0.00654,True,0.03538,-0.07065,0.7464,0.00599,True,0.18386,0.47806,95.77486,0.30817,284,True,0.18874,0.44788,True,0.16539,0.45862,True,0.17706,0.45325,True,0.37485,0.81294,29.7909,1.03895,True,0.62005,0.80256,27.61243,1.03895,True,96.08303,64628019625
0,1496,(512 720),14164,0.37482,0.813,0,-0.03465,-0.07341,0.75009,0.00652,True,0.03538,-0.07065,0.7464,0.00599,True,0.18373,0.47773,95.77486,0.31483,284,True,0.19033,0.45759,True,0.16509,0.46602,True,0.17771,0.46181,True,0.37482,0.813,29.8318,1.03895,True,0.62,0.80252,27.46884,1.03895,True,96.0897,64628086288
0,1498,(512 720),14165,0.37479,0.81302,0,-0.03465,-0.07341,0.75009,0.00649,True,0.03538,-0.07065,0.7464,0.00597,True,0.18345,0.4773,95.77486,0.32156,284,True,0.19033,0.45759,True,0.16509,0.46602,True,0.17771,0.46181,True,0.37479,0.81302,29.85917,1.03895,True,0.62002,0.80257,27.58023,1.03895,True,96.09643,64628153611
0,1500,(512 720),14166,0.3749,0.8132,0,-0.03465,-0.07341,0.75009,0.0065,True,0.03538,-0.07065,0.7464,0.00599,True,0.18349,0.47692,95.77486,0.32823,284,True,0.19329,0.4289,True,0.16935,0.48896,True,0.18132,0.45893,True,0.3749,0.8132,29.85699,1.03895,True,0.62011,0.80276,27.45,1.03895,True,96.1031,64628220279
0,1501,(512 720),14167,0.37495,0.81316,0,-0.03465,-0.07341,0.75009,0.00653,True,0.03538,-0.07065,0.7464,0.00598,True,0.18332,0.47663,95.77486,0.33496,284,True,0.16743,0.42217,True,0.17483,0.48835,True,0.17113,0.45526,True,0.37495,0.81316,29.83917,1.03895,True,0.62015,0.80277,27.47763,1.03895,True,96.10983,64628287545
0,1503,(512 720),14168,0.37495,0.81316,0,-0.03293,-0.06993,0.71392,0.00653,True,0.03398,-0.06776,0.71586,0.00598,True,0.18325,0.47658,95.77486,0.34188,284,True,0.17149,0.43029,True,0.17991,0.50226,True,0.1757,0.46628,True,0.37495,0.81316,29.83917,1.02683,True,0.62015,0.80278,27.4315,1.01534,True,96.11674,64628356751
0,1505,(512 720),14169,0.37503,0.81304,0,-0.03293,-0.06993,0.71392,0.00652,True,0.03398,-0.06776,0.71586,0.006,True,0.18349,0.47682,95.77486,0.34834,284,True,0.18983,0.44022,True,0.19279,0.51456,True,0.19131,0.47739,True,0.37503,0.81304,29.9402,1.00322,True,0.62021,0.80273,27.56757,0.99173,True,96.1232,64628421305
0,1506,(512 720),14170,0.37515,0.81312,0,-0.03293,-0.06993,0.71392,0.00653,True,0.03398,-0.06776,0.71586,0.00597,True,0.18376,0.47666,95.77486,0.3553,284,True,0.20326,0.45617,True,0.18111,0.4817,True,0.19218,0.46893,True,0.37515,0.81312,29.72715,0.97961,True,0.6204,0.80285,27.53711,0.96812,True,96.13017,64628490929
0,1507,(512 720),14171,0.37515,0.81312,0,-0.03231,-0.06885,0.70288,0.00653,True,0.03425,-0.06812,0.71916,0.00598,True,0.18416,0.47683,95.77486,0.36174,284,True,0.21087,0.47234,True,0.18641,0.49678,True,0.19864,0.48456,True,0.37515,0.81312,29.72715,0.95599,True,0.62042,0.80288,27.64459,0.9445,True,96.1366,64628555348
0,1509,(512 720),14172,0.37541,0.8131,0,-0.03231,-0.06885,0.70288,0.00654,True,0.03425,-0.06812,0.71916,0.00604,True,0.18445,0.47723,95.77486,0.36863,284,True,0.20438,0.4872,True,0.17813,0.51313,True,0.19125,0.50017,True,0.37541,0.8131,30.02912,0.9445,True,0.62063,0.80296,27.52472,0.9445,True,96.14349,64628624238
0,1511,(512 720),14173,0.3755,0.81303,0,-0.03231,-0.06885,0.70288,0.00652,True,0.03425,-0.06812,0.71916,0.00598,True,0.18474,0.47793,95.77486,0.37514,284,True,0.21406,0.47915,True,0.18477,0.51387,True,0.19942,0.49651,True,0.3755,0.81303,29.95721,0.9445,True,0.62078,0.80294,27.69461,0.9445,True,96.15,64628689324
0,1513,(512 720),14174,0.37551,0.81304,0,-0.03431,-0.07317,0.7476,0.00652,True,0.03589,-0.07133,0.75241,0.00599,True,0.18491,0.47831,95.77486,0.38212,284,True,0.21014,0.47081,True,0.17942,0.49923,True,0.19478,0.48502,True,0.37551,0.81304,29.90228,0.95663,True,0.6208,0.80294,27.68031,0.96812,True,96.15698,64628759146
0,1514,(512 720),14175,0.37569,0.81303,0,-0.03431,-0.07317,0.7476,0.00654,True,0.03589,-0.07133,0.75241,0.00602,True,0.18481,0.47854,95.77486,0.38862,284,True,0.18308,0.49149,True,0.18969,0.48489,True,0.18638,0.48819,True,0.37569,0.81303,29.97865,0.98024,True,0.62098,0.80302,27.71294,0.99173,True,96.16348,64628824110
0,1516,(512 720),14176,0.37581,0.81309,0,-0.03431,-0.07317,0.7476,0.00653,True,0.03589,-0.07133,0.75241,0.00601,True,0.18462,0.47849,95.77486,0.39542,284,True,0.18493,0.49076,True,0.16281,0.48466,True,0.17387,0.48771,True,0.37581,0.81309,29.85355,1.00385,True,0.62107,0.80308,27.65538,1.01534,True,96.17028,64628892131
0,1517,(512 720),14177,0.37581,0.8131,0,-0.03397,-0.07274,0.74258,0.00652,True,0.03433,-0.06813,0.71871,0.00601,True,0.18425,0.47805,95.77486,0.40194,284,True,0.17708,0.47582,True,0.16002,0.47727,True,0.16855,0.47655,True,0.37581,0.8131,29.92171,1.02746,True,0.62107,0.80308,27.65538,1.02746,True,96.1768,64628957323
0,1518,(512 720),14178,0.3759,0.81307,0,-0.03397,-0.07274,0.74258,0.00654,True,0.03433,-0.06813,0.71871,0.00603,True,0.1837,0.47769,95.77486,0.40866,284,True,0.15658,0.47073,True,0.1706,0.48603,True,0.16359,0.47838,True,0.3759,0.81307,29.95069,1.02746,True,0.62121,0.80311,27.69969,1.01597,True,96.18353,64629024552
0,1520,(512 720),14179,0.37588,0.81291,0,-0.03397,-0.07274,0.74258,0.00653,True,0.03433,-0.06813,0.71871,0.00603,True,0.18348,0.47747,95.77486,0.41534,284,True,0.18618,0.46698,True,0.17558,0.48568,True,0.18088,0.47633,True,0.37588,0.81291,30.05672,1.01597,True,0.62122,0.8031,27.72675,1.00448,True,96.1902,64629091333
0,1522,(512 720),14180,0.37588,0.81295,0,-0.03123,-0.06688,0.68278,0.00653,True,0.03433,-0.06813,0.71871,0.00604,True,0.18347,0.47777,95.77486,0.42204,284,True,0.19721,0.48887,True,0.18306,0.5063,True,0.19013,0.49758,True,0.37588,0.81295,30.0709,0.98226,True,0.6212,0.80312,27.65515,0.97077,True,96.19691,64629158411
0,1523,(512 720),14181,0.37581,0.81299,0,-0.03123,-0.06688,0.68278,0.00654,True,0.03433,-0.06813,0.71871,0.00603,True,0.18354,0.47861,95.77486,0.42873,284,True,0.20505,0.51601,True,0.18015,0.52274,True,0.1926,0.51937,True,0.37581,0.81299,30.0804,0.94854,True,0.62109,0.8031,27.69633,0.94854,True,96.2036,64629225287
0,1525,(512 720),14182,0.37577,0.81305,0,-0.03123,-0.06688,0.68278,0.00653,True,0.03433,-0.06813,0.71871,0.00603,True,0.18361,0.47992,95.77486,0.43543,284,True,0.20807,0.53953,True,0.17996,0.53843,True,0.19402,0.53898,True,0.37577,0.81305,30.04554,0.92632,True,0.62102,0.80309,27.68762,0.92632,True,96.2103,64629292251
0,1527,(512 720),14183,0.37575,0.81305,0,-0.0325,-0.06947,0.70928,0.00654,True,0.03589,-0.07133,0.75241,0.00602,True,0.1838,0.48147,95.77486,0.44215,284,True,0.21217,0.54732,True,0.18011,0.53881,True,0.19614,0.54306,True,0.37575,0.81305,30.00934,0.9142,True,0.62105,0.80309,27.72066,0.92569,True,96.21701,64629359396
0,1529,(512 720),14184,0.37547,0.81301,0,-0.0325,-0.06947,0.70928,0.00652,True,0.03589,-0.07133,0.75241,0.00607,True,0.18453,0.48292,95.77486,0.44881,284,True,0.21458,0.52748,True,0.1903,0.51609,True,0.20244,0.52179,True,0.37547,0.81301,30.11878,0.93579,True,0.62077,0.80301,27.90518,0.94728,True,96.22368,64629426076
0,1530,(512 720),14185,0.37544,0.81301,0,-0.0325,-0.06947,0.70928,0.00654,True,0.03589,-0.07133,0.75241,0.00607,True,0.18488,0.48306,95.77486,0.45576,284,True,0.1972,0.50538,True,0.17094,0.49438,True,0.18407,0.49988,True,0.37544,0.81301,30.05592,0.95738,True,0.62064,0.80293,27.7192,0.96887,True,96.23063,64629495619
0,1531,(512 720),14186,0.37544,0.81301,0,-0.03231,-0.06885,0.70288,0.00654,True,0.03425,-0.06812,0.71916,0.00604,True,0.1852,0.48315,95.77486,0.46222,284,True,0.18993,0.49132,True,0.16858,0.48805,True,0.17925,0.48969,True,0.37544,0.81301,30.05531,0.97897,True,0.62066,0.80293,27.75673,0.97897,True,96.23708,64629560113
0,1533,(512 720),14187,0.37505,0.81307,0,-0.03231,-0.06885,0.70288,0.00654,True,0.03425,-0.06812,0.71916,0.00607,True,0.18547,0.48425,95.77486,0.46915,284,True,0.19657,0.50468,True,0.17727,0.4887,True,0.18692,0.49669,True,0.37505,0.81307,30.26795,0.97897,True,0.62035,0.80289,27.97422,0.96748,True,96.24401,64629629452
0,1535,(512 720),14188,0.37497,0.81304,0,-0.03231,-0.06885,0.70288,0.00655,True,0.03425,-0.06812,0.71916,0.00604,True,0.18571,0.4852,95.77486,0.47565,284,True,0.19392,0.46154,True,0.17168,0.49704,True,0.1828,0.47929,True,0.37497,0.81304,30.10059,0.96748,True,0.62026,0.8029,27.9891,0.95599,True,96.25052,64629694509
0,1537,(512 720),14189,0.37497,0.81304,0,-0.03293,-0.06993,0.71392,0.00655,True,0.03577,-0.07149,0.75474,0.00604,True,0.18598,0.48622,95.77486,0.48232,284,True,0.19778,0.46943,True,0.17168,0.49704,True,0.18473,0.48324,True,0.37497,0.81304,30.10059,0.95599,True,0.62021,0.80293,27.96017,0.95599,True,96.25719,64629761215
0,1538,(512 720),14190,0.37479,0.81297,0,-0.03293,-0.06993,0.71392,0.00658,True,0.03577,-0.07149,0.75474,0.00611,True,0.18621,0.48724,95.77486,0.48903,284,True,0.2077,0.51344,True,0.18352,0.52894,True,0.19561,0.52119,True,0.37479,0.81297,30.16002,0.95599,True,0.61999,0.80282,27.87249,0.96748,True,96.26389,64629828266
0,1539,(512 720),14191,0.3747,0.81296,0,-0.03293,-0.06993,0.71392,0.00655,True,0.03577,-0.07149,0.75474,0.00611,True,0.18657,0.48802,95.77486,0.49571,284,True,0.20001,0.50607,True,0.17736,0.5163,True,0.18868,0.51119,True,0.3747,0.81296,30.04668,0.96748,True,0.61994,0.80275,27.918,0.97897,True,96.27058,64629895063
0,1541,(512 720),14192,0.37469,0.81299,0,-0.03465,-0.07341,0.75009,0.00652,True,0.03577,-0.07149,0.75474,0.00611,True,0.18672,0.48833,95.77486,0.5024,284,True,0.19221,0.49087,True,0.17203,0.50222,True,0.18212,0.49655,True,0.37469,0.81299,30.13183,0.9911,True,0.61994,0.80274,27.8768,1.00259,True,96.27727,64629962017
0,1543,(512 720),14193,0.37468,0.81298,0,-0.03465,-0.07341,0.75009,0.00653,True,0.03577,-0.07149,0.75474,0.0061,True,0.18636,0.48803,95.77486,0.50913,284,True,0.18564,0.47417,True,0.16765,0.49043,True,0.17664,0.4823,True,0.37468,0.81298,30.08193,1.01471,True,0.61995,0.80271,27.87741,1.01471,True,96.284,64630029269
0,1544,(512 720),14194,0.37468,0.81298,0,-0.03465,-0.07341,0.75009,0.00653,True,0.03577,-0.07149,0.75474,0.0061,True,0.18621,0.48806,95.77486,0.51606,284,True,0.18097,0.47025,True,0.1654,0.48032,True,0.17318,0.47528,True,0.37468,0.81298,30.08788,1.02683,True,0.61995,0.80269,27.92921,1.02683,True,96.29092,64630098557
0,1546,(512 720),14195,0.37468,0.81298,0,-0.03483,-0.07375,0.75405,0.00653,True,0.03538,-0.07065,0.7464,0.0061,True,0.186,0.48794,95.77486,0.52253,284,True,0.17699,0.46254,True,0.16267,0.47296,True,0.16983,0.46775,True,0.37468,0.81298,30.08193,1.03895,True,0.61993,0.80267,27.98816,1.03895,True,96.29739,64630163220
0,1547,(512 720),14196,0.37468,0.81287,0,-0.03483,-0.07375,0.75405,0.00654,True,0.03538,-0.07065,0.7464,0.0061,True,0.18589,0.48755,95.77486,0.52945,284,True,0.17939,0.45074,True,0.16245,0.47065,True,0.17092,0.46069,True,0.37468,0.81287,30.31172,1.03895,True,0.61997,0.80262,28.05118,1.03895,True,96.30431,64630232419
0,1549,(512 720),14197,0.37477,0.81283,0,-0.03483,-0.07375,0.75405,0.00658,True,0.03538,-0.07065,0.7464,0.00611,True,0.18558,0.48699,95.77486,0.5359,284,True,0.18355,0.4488,True,0.16718,0.46783,True,0.17536,0.45832,True,0.37477,0.81283,30.40713,1.03895,True,0.61998,0.80263,28.03699,1.03895,True,96.31076,64630296902
0,1551,(512 720),14198,0.37478,0.8129,0,-0.03483,-0.07375,0.75405,0.00659,True,0.03538,-0.07065,0.7464,0.00611,True,0.18528,0.48643,95.77486,0.54263,284,True,0.18355,0.4488,True,0.16718,0.46783,True,0.17536,0.45832,True,0.37478,0.8129,30.11762,1.03895,True,0.61998,0.80263,28.03699,1.03895,True,96.3175,64630364317
0,1553,(512 720),14199,0.37488,0.81279,0,-0.03483,-0.07375,0.75405,0.00659,True,0.03538,-0.07065,0.7464,0.00611,True,0.18513,0.48533,95.77486,0.54929,284,True,0.16294,0.4299,True,0.1773,0.46015,True,0.17012,0.44502,True,0.37488,0.81279,30.41672,1.03895,True,0.62013,0.80249,28.01775,1.03895,True,96.32415,64630430810
0,1554,(512 720),14200,0.37492,0.8128,0,-0.03483,-0.07375,0.75405,0.00658,True,0.03538,-0.07065,0.7464,0.00609,True,0.18479,0.48424,95.77486,0.55604,284,True,0.16704,0.42174,True,0.17963,0.4568,True,0.17333,0.43927,True,0.37492,0.8128,30.40265,1.03895,True,0.62023,0.8025,27.99858,1.03895,True,96.3309,64630498335
0,1556,(512 720),14201,0.37494,0.81271,0,-0.03221,-0.06826,0.69844,0.00659,True,0.03398,-0.06776,0.71586,0.00609,True,0.18455,0.48338,95.77486,0.56271,284,True,0.17111,0.42987,True,0.18458,0.47146,True,0.17784,0.45066,True,0.37494,0.81271,30.41708,1.02683,True,0.62022,0.80247,28.09665,1.01534,True,96.33758,64630565057
0,1557,(512 720),14202,0.37504,0.8127,0,-0.03221,-0.06826,0.69844,0.00656,True,0.03398,-0.06776,0.71586,0.0061,True,0.18442,0.48318,95.77486,0.5694,284,True,0.18601,0.45527,True,0.19632,0.49443,True,0.19116,0.47485,True,0.37504,0.8127,30.29658,1.00322,True,0.62033,0.80256,28.04884,0.99173,True,96.34426,64630631923
0,1559,(512 720),14203,0.37506,0.8127,0,-0.03221,-0.06826,0.69844,0.00656,True,0.03398,-0.06776,0.71586,0.00609,True,0.18416,0.48309,95.77486,0.5761,284,True,0.19692,0.46976,True,0.17664,0.51045,True,0.18678,0.49011,True,0.37506,0.8127,30.34668,0.97961,True,0.62035,0.80257,28.22134,0.96812,True,96.35097,64630699018
0,1561,(512 720),14204,0.37508,0.81276,0,-0.03231,-0.06874,0.70288,0.00657,True,0.03573,-0.07113,0.75147,0.0061,True,0.18399,0.48317,95.77486,0.58279,284,True,0.20468,0.48562,True,0.17943,0.51782,True,0.19205,0.50172,True,0.37508,0.81276,30.21689,0.95599,True,0.62035,0.8026,28.1508,0.95599,True,96.35766,64630765869
0,1562,(512 720),14205,0.3751,0.8127,0,-0.03231,-0.06874,0.70288,0.00656,True,0.03573,-0.07113,0.75147,0.00611,True,0.18356,0.48306,95.77486,0.58949,284,True,0.17981,0.47992,True,0.18407,0.51558,True,0.18194,0.49775,True,0.3751,0.8127,30.38369,0.95599,True,0.62038,0.80259,28.20862,0.96748,True,96.36436,64630832910
0,1563,(512 720),14206,0.37514,0.81272,0,-0.03231,-0.06874,0.70288,0.0066,True,0.03573,-0.07113,0.75147,0.0061,True,0.18318,0.48288,95.77486,0.59642,284,True,0.17862,0.4719,True,0.17971,0.50455,True,0.17916,0.48823,True,0.37514,0.81272,30.22809,0.96748,True,0.62042,0.80259,28.20273,0.97897,True,96.37128,64630902164
0,1565,(512 720),14207,0.37513,0.81266,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.0061,True,0.18276,0.48263,95.77486,0.60291,284,True,0.17459,0.46416,True,0.17714,0.49756,True,0.17587,0.48086,True,0.37513,0.81266,30.3716,0.97897,True,0.62042,0.80259,28.20273,0.99046,True,96.37777,64630966998
0,1568,(512 720),14208,0.37513,0.81273,0,-0.03247,-0.06902,0.70624,0.00658,True,0.03573,-0.07113,0.75147,0.00613,True,0.18278,0.48243,95.77486,0.60983,284,True,0.19756,0.46719,True,0.17793,0.49389,True,0.18774,0.48054,True,0.37513,0.81273,30.24272,0.99046,True,0.62046,0.80257,28.17443,0.99046,True,96.3847,64631036250
0,1568,(512 720),14209,0.37513,0.81266,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.00613,True,0.18268,0.48243,95.77486,0.61627,284,True,0.17297,0.45322,True,0.17911,0.49146,True,0.17604,0.47234,True,0.37513,0.81266,30.3716,0.99046,True,0.62044,0.80256,28.21035,0.99046,True,96.39114,64631100650
0,1570,(512 720),14210,0.37513,0.81266,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.00612,True,0.18272,0.48275,95.77486,0.62302,284,True,0.17297,0.45322,True,0.17911,0.49146,True,0.17604,0.47234,True,0.37513,0.81266,30.3716,0.99046,True,0.62043,0.80253,28.32118,0.99046,True,96.39788,64631168099
0,1572,(512 720),14211,0.37519,0.81273,0,-0.03247,-0.06902,0.70624,0.0066,True,0.03573,-0.07113,0.75147,0.00612,True,0.18269,0.48323,95.77486,0.63004,284,True,0.17305,0.45805,True,0.17865,0.49482,True,0.17585,0.47643,True,0.37519,0.81273,30.27794,0.99046,True,0.62044,0.80255,28.19219,0.99046,True,96.4049,64631238296
0,1573,(512 720),14212,0.37522,0.81276,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.00612,True,0.18271,0.48358,95.77486,0.63637,284,True,0.17773,0.45967,True,0.17902,0.49753,True,0.17837,0.4786,True,0.37522,0.81276,30.28235,0.99046,True,0.62044,0.80257,28.2475,0.99046,True,96.41123,64631301643
0,1575,(512 720),14213,0.37521,0.81278,0,-0.03247,-0.06902,0.70624,0.00658,True,0.03573,-0.07113,0.75147,0.00612,True,0.18272,0.48393,95.77486,0.64311,284,True,0.17773,0.45967,True,0.17902,0.49753,True,0.17837,0.4786,True,0.37521,0.81278,30.28082,0.99046,True,0.62045,0.80258,28.26169,0.99046,True,96.41798,64631369074
0,1577,(512 720),14214,0.37528,0.81283,0,-0.03247,-0.06902,0.70624,0.00658,True,0.03573,-0.07113,0.75147,0.00614,True,0.18232,0.48439,95.77486,0.64977,284,True,0.17405,0.46379,True,0.15037,0.49835,True,0.16221,0.48107,True,0.37528,0.81283,30.54421,0.99046,True,0.62048,0.80257,28.27505,0.99046,True,96.42463,64631435604
0,1579,(512 720),14215,0.37521,0.81274,0,-0.03247,-0.06902,0.70624,0.00658,True,0.03573,-0.07113,0.75147,0.00614,True,0.18238,0.48464,95.77486,0.65649,284,True,0.17653,0.44795,True,0.17143,0.48685,True,0.17398,0.4674,True,0.37521,0.81274,30.25868,0.99046,True,0.62042,0.80253,28.28849,0.99046,True,96.43136,64631502898
0,1580,(512 720),14216,0.37521,0.81274,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.00614,True,0.18234,0.48467,95.77486,0.66317,284,True,0.17653,0.44795,True,0.17143,0.48685,True,0.17398,0.4674,True,0.37521,0.81274,30.2348,0.99046,True,0.62041,0.80253,28.29994,0.99046,True,96.43803,64631569640
0,1582,(512 720),14217,0.37543,0.81263,0,-0.03247,-0.06902,0.70624,0.00663,True,0.03573,-0.07113,0.75147,0.00616,True,0.18197,0.48453,95.77486,0.67036,284,True,0.18944,0.4484,True,0.15688,0.49335,True,0.17316,0.47088,True,0.37543,0.81263,30.27396,0.99046,True,0.62056,0.80249,28.23896,0.99046,True,96.44522,64631641536
0,1583,(512 720),14218,0.37554,0.81271,0,-0.03247,-0.06902,0.70624,0.00659,True,0.03573,-0.07113,0.75147,0.00613,True,0.18187,0.48455,95.77486,0.67661,284,True,0.20571,0.44776,True,0.16909,0.49185,True,0.1874,0.46981,True,0.37554,0.81271,30.36397,0.99046,True,0.62071,0.80255,28.20811,0.99046,True,96.45147,64631704000
0,1585,(512 720),14219,0.37554,0.81276,0,-0.03437,-0.07324,0.74885,0.00658,True,0.03589,-0.07122,0.75241,0.00611,True,0.18156,0.48408,95.77486,0.68329,284,True,0.20189,0.43947,True,0.1663,0.48439,True,0.18409,0.46193,True,0.37554,0.81276,30.43947,1.00259,True,0.62076,0.80257,28.20674,1.00259,True,96.45815,64631770845
0,1586,(512 720),14220,0.37576,0.81264,0,-0.03437,-0.07324,0.74885,0.00656,True,0.03589,-0.07122,0.75241,0.00616,True,0.18124,0.48314,95.77486,0.68999,284,True,0.17588,0.44007,True,0.1756,0.47027,True,0.17574,0.45517,True,0.37576,0.81264,30.48932,1.01471,True,0.62085,0.80249,28.2564,1.01471,True,96.46486,64631837878
0,1588,(512 720),14221,0.3758,0.81267,0,-0.03437,-0.07324,0.74885,0.00656,True,0.03589,-0.07122,0.75241,0.00612,True,0.18081,0.48207,95.77486,0.69666,284,True,0.17797,0.43507,True,0.1798,0.45529,True,0.17889,0.44518,True,0.3758,0.81267,30.37813,1.02683,True,0.62094,0.80241,28.20171,1.02683,True,96.47152,64631904528
0,1589,(512 720),14222,0.37582,0.81268,0,-0.03068,-0.0656,0.67073,0.00655,True,0.03433,-0.06803,0.71871,0.00612,True,0.18056,0.48145,95.77486,0.70336,284,True,0.1813,0.44182,True,0.18438,0.46888,True,0.18284,0.45535,True,0.37582,0.81268,30.43121,1.01673,True,0.62094,0.80241,28.20171,1.00524,True,96.47823,64631971559
0,1591,(512 720),14223,0.37599,0.81276,0,-0.03068,-0.0656,0.67073,0.00659,True,0.03433,-0.06803,0.71871,0.00612,True,0.18088,0.48142,95.77486,0.71031,284,True,0.20226,0.472,True,0.20094,0.50085,True,0.2016,0.48642,True,0.37599,0.81276,30.23291,0.98301,True,0.6211,0.80255,28.23131,0.97153,True,96.48518,64632041048
